Name,Type,,,
Unlist_Comp_1plus_5yr_Pol_All,Numeric,,,
Broad_Occurrence_3yr_Pol_All_DDM,Numeric,,,
Broad_Occurrence_No_NAF_3yr_Pol_,Numeric,,,
Broad_Occurrence_No_Zero_3yr_Pol,Numeric,,,
Broad_Occurrence_No_NAF_No_Zero3,Numeric,,,
AFA_0_to_749_3yr_Pol_All_DDM3,Numeric,,,
AFA_1_to_749_3yr_Pol_All_DDM3,Numeric,,,
NAF_0_Above_3yr_Pol_All_DDM3,Numeric,,,
NAF_0_to_749_3yr_Pol_All_DDM3,Numeric,,,
NAF_1_Above_3yr_Pol_All_DDM3,Numeric,,,
NAF_1_to_749_3yr_Pol_All_DDM3,Numeric,,,
NAF_750_Above_3yr_Pol_All_DDM3,Numeric,,,
Comp_Tow_Gls_0_Above_3yr_Pol,Numeric,,,
Comp_Tow_Gls_1_Above_3yr_Pol,Numeric,,,
Comp_Tow_Gls_0_99_3yr_Pol,Numeric,,,
Comp_Tow_Gls_1_99_3yr_Pol,Numeric,,,
Comp_Tow_Gls_100_Above_3yr_Pol,Numeric,,,
Comp_Tow_Gls_100_1000_3yr_Pol,Numeric,,,
Comp_Tow_Gls_1001_Above_3yr_Pol,Numeric,,,
MedPIP_3yr_Pol_All,Numeric,,,
UM_3yr_Pol_All,Numeric,,,
Undisc_PU_3yr_Pol_All_DDM3,Numeric,,,
ModelYear,Numeric,,,
Veh_Age_Cur,Numeric,,,
Own_Yrs_Cur,Numeric,,,
Age_delta_to_newest,Numeric,,,
MaxVehicleAge,Numeric,,,
MinVehicleAge,Numeric,,,
Own_Yrs_Max,Numeric,,,
Own_Yrs_Min,Numeric,,,
MaxBasePrice,Numeric,,,
MinBasePrice,Numeric,,,
FullCoverageNumberVehicleGroup,Numeric,,,
Unlisted_Vehs,Numeric,,,
NB_UNLST_VEH,Numeric,,,
ANT_cnt,Numeric,,,
TRL_cnt,Numeric,,,
UBI_composition,Numeric,,,
Current_RT_status,Numeric,,,
Vehicle_Level_Full_Coverage,Numeric,,,
Alt_Garage,Numeric,,,
Alt_Garage_Vehs,Numeric,,,
Usage,Numeric,,,
Additional_Interest_Ind,Numeric,,,
Ownership,Numeric,,,
Purchased_New,Numeric,,,
Estimated_Annual_Mileage,Numeric,,,
ANTITHEFT_COMPOSITE,Numeric,,,
MakeName_DDM3,Numeric,,,
VehicleClassName_DDM4,Numeric,,,
VehicleSizeName_DDM4,Numeric,,,
ConvertibleIndicator_DDM3,Numeric,,,
HybridIndicator_DDM3,Numeric,,,
FUEL_TYPE_NAME,Numeric,,,
MaxHorse_DDM4,Numeric,,,
EngineCylinders_DDM4,Numeric,,,
CurbWeight_DDM4,Numeric,,,
Wheelbase_DDM4,Numeric,,,
Length_DDM4,Numeric,,,
Width_DDM4,Numeric,,,
Height_DDM4,Numeric,,,
BasePrice_DDM4,Numeric,,,
EnginePower_DDM4,Numeric,,,
PriceWeightRatio_DDM4,Numeric,,,
DensityofVehicle_DDM4,Numeric,,,
HPWeightRatio_DDM4,Numeric,,,
DrvrSideAirbags_DDM3,Numeric,,,
PsgrSideAirbags_DDM3,Numeric,,,
SecRowSideAirbags_DDM3,Numeric,,,
ThirdRowSideAirbags_DDM3,Numeric,,,
ABS_4wheel_DDM4,Numeric,,,
ABS_RearWheel_DDM4,Numeric,,,
DaytimeRunningLights_DDM4,Numeric,,,
ElectronicStabilityControl_DDM4,Numeric,,,
ActiveAudibleAlarm_DDM4,Numeric,,,
AntiTheft_Active_DDM4,Numeric,,,
PassiveAudibleAlarm_DDM4,Numeric,,,
AdaptCruiseCtrl_DDM3,Numeric,,,
AdaptCruiseCtrlFullStop_DDM3,Numeric,,,
AdaptiveBrakelights_DDM3,Numeric,,,
AdaptiveHeadlights_DDM3,Numeric,,,
AntiTheft_Passive_DDM4,Numeric,,,
BlindSpotPrevention_DDM3,Numeric,,,
BlindSpotWarning_DDM3,Numeric,,,
CollPreventionSystemLowSpd_DDM3,Numeric,,,
DriverAlertnessMonitor_DDM3,Numeric,,,
FwdCollWarningAutoBrake_DDM3,Numeric,,,
FwdCollWarning_DDM3,Numeric,,,
LaneDeparturePrevention_DDM3,Numeric,,,
LaneDepartureWarning_DDM3,Numeric,,,
NightVision_DDM3,Numeric,,,
ParkingAssistanceSteering_DDM3,Numeric,,,
ParkingCamera_Full_DDM3,Numeric,,,
ParkingCamera_Rear_DDM3,Numeric,,,
ParkingSensor_Front_DDM3,Numeric,,,
ParkingSensor_Rear_DDM3,Numeric,,,
All_New_Safety_Feature_Scr,Numeric,,,
Park_Safety_Feature_Scr,Numeric,,,
Drive_Safety_Feature_Scr,Numeric,,,
All_Drive_Safety_Feature_Scr,Numeric,,,
CF_TITLE_CNT,Numeric,,,
CF_CPO_Ind,Numeric,,,
CF_OWN_YEARS,Numeric,,,
CF_LEASE_CNT,Numeric,,,
CF_YRS_SINCE_LEASE,Numeric,,,
CF_ODO_RD_LAST_YEAR,Numeric,,,
CF_YRS_SINCE_ODO_DT,Numeric,,,
CF_OWN_TYPE,Numeric,,,
CF_USE_FLAGS,Numeric,,,
CF_TOP_LEVEL_FLAGS,Numeric,,,
CF_BRANDED_FLAGS,Numeric,,,
CF_ACCIDENT_FLAGS,Numeric,,,
CF_ODOMETER_FLAGS,Numeric,,,
CF_DAMAGE_FLAGS,Numeric,,,
CF_ANN_MILES_RECENT,Numeric,,,
CF_ANN_MILES_TOTAL,Numeric,,,
CF_ANN_MILES_USE,Numeric,,,
CF_LATEST_ODOMETER,Numeric,,,
AnnualRainfall_DDM3,Numeric,,,
CCC_Sev_200_DDM3,Numeric,,,
AltDelta_10_Miles_DDM3,Numeric,,,
Straddle_Days_DDM3,Numeric,,,
Avg_TravelTime_incl_workathome_6,Numeric,,,
Avg_TravelTime_incl_workathome_D,Numeric,,,
FamilyMedianSize_DDM3,Numeric,,,
NonF_MedianSize_DDM3,Numeric,,,
Norm16_Emp_HuntFishMineForestFar,Numeric,,,
Norm16_Emp_PublicTranstowork_DDM,Numeric,,,
Norm18_VehiclesPerPerson_DDM3,Numeric,,,
NormA_VehicleDensity_DDM3,Numeric,,,
Occupied_vs_TotalUnits_DDM3,Numeric,,,
OwnerOccupied_vs_OccupiedUnits_D,Numeric,,,
Pct_HHswNoVehicles_DDM3,Numeric,,,
PopMedianAge_DDM3,Numeric,,,
AveVehiclesperHousehold_DDM3,Numeric,,,
Pct_HHsw3PlusVehicles_DDM3,Numeric,,,
MeanNumberofRainDays_DDM3,Numeric,,,
Average_Annual_Snowfall_DDM3,Numeric,,,
Pct_Male_DDM3,Numeric,,,
Pct_Pop0_17_DDM3,Numeric,,,
Pct_Pop18_24_DDM3,Numeric,,,
Pct_Pop25_44_DDM3,Numeric,,,
Pct_Pop45_64_DDM3,Numeric,,,
Pct_Pop65_Plus_DDM3,Numeric,,,
Norm16_Unemployed_DDM3,Numeric,,,
Norm16_Emp_CarTruckVantoWork_DDM,Numeric,,,
Norm16_Emp_WorkatHome_DDM3,Numeric,,,
Vacancy_Seasonal_DDM3,Numeric,,,
OwnerHouseholds_WithMortgage_DDM,Numeric,,,
Norm18_Vererans_DDM3,Numeric,,,
HomeHeatingFuel_FueloilCoalWood_,Numeric,,,
NormP_MotorVehiclesStoreSales_DD,Numeric,,,
NormP_GasolineStationsStoreSales,Numeric,,,
NormP_FurnitureBuildingMaterials,Numeric,,,
Housing_CPI_DDM3,Numeric,,,
PopulationGrowth_2012_2010_DDM3,Numeric,,,
Violent_Crime_DDM3,Numeric,,,
Motor_Vehicle_Theft_DDM3,Numeric,,,
vin10,Character,,,
All_Activity_5yr,Numeric,,,
All_Claims_5yr,Numeric,,,
All_Accidents_5yr,Numeric,,,
Violations_3yr_1_2,Numeric,,,
Violations_3yr_3_5,Numeric,,,
Violations_3yr_1_3,Numeric,,,
Violations_3yr_4_5,Numeric,,,
Violations_5yr_1_2,Numeric,,,
Violations_5yr_3_5,Numeric,,,
Violations_5yr_1_3,Numeric,,,
Violations_5yr_4_5,Numeric,,,
